state name,,latitude,lng,longitude
Alabama,32.7794°N 86.8287°W,32.7794,86.8287,-86.8287
Alaska,64.0685°N 152.2782°W,64.0685,52.2782,-52.2782
Arizona,34.2744°N 111.6602°W,34.2744,11.6602,-11.6602
Arkansas,34.8938°N 92.4426°W,34.8938,92.4426,-92.4426
California,37.1841°N 119.4696°W,37.1841,19.4696,-19.4696
Colorado,38.9972°N 105.5478°W,38.9972,5.5478,-5.5478
Connecticut,41.6219°N 72.7273°W,41.6219,72.7273,-72.7273
Delaware,38.9896°N 75.5050°W,38.9896,75.505,-75.505
District of Columbia,38.9101°N 77.0147°W,38.9101,77.0147,-77.0147
Florida,28.6305°N 82.4497°W,28.6305,82.4497,-82.4497
Georgia,32.6415°N 83.4426°W [6],32.6415,426,-426
Hawaii,20.2927°N 156.3737°W,20.2927,56.3737,-56.3737
Idaho,44.3509°N 114.6130°W,44.3509,14.613,-14.613
Illinois,40.0417°N 89.1965°W,40.0417,89.1965,-89.1965
Indiana,39.8942°N 86.2816°W,39.8942,86.2816,-86.2816
Iowa,42.0751°N 93.4960°W,42.0751,93.496,-93.496
Kansas,38.4937°N 98.3804°W,38.4937,98.3804,-98.3804
Kentucky,37.5347°N 85.3021°W,37.5347,85.3021,-85.3021
Louisiana,31.0689°N 91.9968°W,31.0689,91.9968,-91.9968
Maine,45.3695°N 69.2428°W,45.3695,69.2428,-69.2428
Maryland,39.0550°N 76.7909°W,39.055,76.7909,-76.7909
Massachusetts,42.2596°N 71.8083°W,42.2596,71.8083,-71.8083
Michigan,44.3467°N 85.4102°W,44.3467,85.4102,-85.4102
Minnesota,46.2807°N 94.3053°W,46.2807,94.3053,-94.3053
Mississippi,32.7364°N 89.6678°W,32.7364,89.6678,-89.6678
Missouri,38.3566°N 92.4580°W,38.3566,92.458,-92.458
Montana,47.0527°N 109.6333°W,47.0527,9.6333,-9.6333
Nebraska,41.5378°N 99.7951°W,41.5378,99.7951,-99.7951
Nevada,39.3289°N 116.6312°W,39.3289,16.6312,-16.6312
New Hampshire,43.6805°N 71.5811°W,43.6805,71.5811,-71.5811
New Jersey,40.1907°N 74.6728°W,40.1907,74.6728,-74.6728
New Mexico,34.4071°N 106.1126°W,34.4071,6.1126,-6.1126
New York,42.9538°N 75.5268°W,42.9538,75.5268,-75.5268
North Carolina,35.5557°N 79.3877°W,35.5557,79.3877,-79.3877
North Dakota,47.4501°N 100.4659°W,47.4501,0.4659,-0.4659
Ohio,40.2862°N 82.7937°W,40.2862,82.7937,-82.7937
Oklahoma,35.5889°N 97.4943°W,35.5889,97.4943,-97.4943
Oregon,43.9336°N 120.5583°W,43.9336,20.5583,-20.5583
Pennsylvania,40.8781°N 77.7996°W,40.8781,77.7996,-77.7996
Rhode Island,41.6762°N 71.5562°W,41.6762,71.5562,-71.5562
South Carolina,33.9169°N 80.8964°W,33.9169,80.8964,-80.8964
South Dakota,44.4443°N 100.2263°W,44.4443,0.2263,-0.2263
Tennessee,35.8580°N 86.3505°W,35.858,86.3505,-86.3505
Texas,31.4757°N 99.3312°W,31.4757,99.3312,-99.3312
Utah,39.3055°N 111.6703°W,39.3055,11.6703,-11.6703
Vermont,44.0687°N 72.6658°W,44.0687,72.6658,-72.6658
Virginia,37.5215°N 78.8537°W,37.5215,78.8537,-78.8537
Washington,47.3826°N 120.4472°W,47.3826,20.4472,-20.4472
West Virginia,38.6409°N 80.6227°W,38.6409,80.6227,-80.6227
Wisconsin,44.6243°N 89.9941°W,44.6243,89.9941,-89.9941
Wyoming,42.9957°N 107.5512°W,42.9957,7.5512,-7.5512
